Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
10024-6,TAMAN GAPAM PERDANA,Rumah Kluster,1,4,2,0,164,"487,000.00","668,000.00",1.19,Lancar,-,-,2026-01-04,2026-01-04 05:17:15
10024-6,TAMAN GAPAM PERDANA,Rumah Berkembar,2,4,4,0,66,"800,000.00","1,213,000.00",2.95,Lancar,-,-,2026-01-04,2026-01-04 05:17:15
10024-5,TAMAN GAPAM PERDANA,Rumah Teres,2,4,4,0,82,"600,000.00","768,000.00",28.48,Lancar,-,-,2026-01-04,2026-01-04 05:17:15
10024-5,TAMAN GAPAM PERDANA,Rumah Teres,1,4,2,0,194,"400,000.00","630,200.00",39.14,Lancar,-,-,2026-01-04,2026-01-04 05:17:15
10024-4,TAMAN BUKIT LARANG INDAH,Rumah Teres,1,0,0,62,68,"42,000.00","103,918.00",100.00,Siap Dengan CCC,27/08/2015,-,2026-01-04,2026-01-04 05:17:15
10024-4,TAMAN BUKIT LARANG INDAH,Rumah Kluster,1,0,0,156,221,"270,000.00","478,913.00",100.00,Siap Dengan CCC,27/08/2015,-,2026-01-04,2026-01-04 05:17:15
10024-3,TAMAN SENTOSA,Rumah Pangsa/Kondo,14,0,0,80,140,"298,800.00","513,800.00",100.00,Siap Dengan CCC,24/07/2014,-,2026-01-04,2026-01-04 05:17:15
10024-1,TAMAN SENTOSA,Rumah Teres,3,0,0,0,48,"370,000.00","506,100.00",100.00,Siap Dengan CCC,17/03/2010,-,2026-01-04,2026-01-04 05:17:15
10024-1,TAMAN SENTOSA,Rumah Kluster,3,0,0,0,16,"535,000.00","581,570.00",100.00,-,17/03/2010,-,2026-01-04,2026-01-04 05:17:15
